               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.024558,              0.0068,            0.043806,             0.69687,             0.40811,             0.39813,             0.30344,            0.018078,           0.0061366,            0.041616,            0.007921,            0.007921,            0.007921
                  65,            0.023998,           0.0067816,            0.043664,             0.71453,             0.41543,             0.39713,              0.3066,             0.01864,             0.00619,            0.041008,            0.007888,            0.007888,            0.007888
                  66,            0.024416,           0.0065548,             0.04424,              0.6983,             0.43619,              0.4113,             0.32296,            0.017356,           0.0059362,            0.040833,            0.007855,            0.007855,            0.007855
                  67,            0.023362,            0.006601,            0.043405,             0.69118,             0.44436,              0.4157,             0.33669,             0.01793,           0.0058799,            0.040615,            0.007822,            0.007822,            0.007822
                  68,            0.023991,           0.0067696,             0.04217,             0.70515,             0.44586,              0.4212,             0.31638,            0.018787,           0.0061212,            0.039885,            0.007789,            0.007789,            0.007789
                  69,            0.023547,            0.006535,            0.042072,             0.71042,             0.46702,             0.41826,             0.32834,             0.01835,           0.0059257,            0.039434,            0.007756,            0.007756,            0.007756
                  70,            0.023982,           0.0067496,            0.041799,             0.71579,             0.41316,             0.42702,             0.33025,            0.018493,           0.0060833,            0.039308,            0.007723,            0.007723,            0.007723
                  71,            0.024435,           0.0066823,            0.039873,             0.69827,             0.44447,             0.43495,             0.33904,            0.017995,           0.0060025,            0.038498,             0.00769,             0.00769,             0.00769
                  72,            0.024364,             0.00683,            0.040964,             0.70799,             0.42511,             0.43391,             0.34323,            0.017239,           0.0060314,            0.037932,            0.007657,            0.007657,            0.007657
                  73,            0.023653,           0.0064406,            0.040504,             0.71935,             0.44176,             0.43699,             0.33804,            0.017895,           0.0058516,            0.037276,            0.007624,            0.007624,            0.007624
                  74,              0.0234,           0.0065918,            0.040221,             0.71908,             0.42033,             0.44512,             0.34109,            0.018237,           0.0058736,             0.03749,            0.007591,            0.007591,            0.007591
                  75,            0.024612,           0.0064074,            0.038792,             0.70033,             0.45756,             0.43756,             0.35275,            0.017061,           0.0058727,            0.036679,            0.007558,            0.007558,            0.007558
                  76,            0.023495,           0.0067349,            0.038546,             0.74904,             0.41453,             0.43467,             0.34124,            0.018246,           0.0059784,            0.036096,            0.007525,            0.007525,            0.007525
                  77,            0.023604,           0.0064418,              0.0388,             0.74238,             0.43508,             0.45142,             0.36035,             0.01711,           0.0059335,            0.035466,            0.007492,            0.007492,            0.007492
                  78,            0.023718,           0.0066597,            0.037083,             0.66553,             0.48622,             0.45372,             0.36082,            0.017334,           0.0059591,            0.034889,            0.007459,            0.007459,            0.007459
                  79,            0.023026,           0.0062794,            0.038287,             0.73971,             0.45095,             0.45844,              0.3659,            0.018069,           0.0059041,            0.034606,            0.007426,            0.007426,            0.007426
                  80,            0.023523,            0.006552,            0.037571,              0.7441,             0.44272,             0.45812,             0.35771,            0.017774,           0.0058897,            0.034373,            0.007393,            0.007393,            0.007393
                  81,            0.023061,            0.006438,            0.036907,             0.73922,             0.45415,             0.47118,              0.3694,             0.01762,           0.0058174,            0.033829,             0.00736,             0.00736,             0.00736
                  82,            0.023429,           0.0067705,            0.035662,             0.72882,             0.43032,              0.4701,             0.37828,            0.017561,           0.0058024,            0.034338,            0.007327,            0.007327,            0.007327
                  83,            0.021859,           0.0064406,             0.03653,             0.69745,             0.46534,              0.4695,             0.37858,             0.01722,           0.0058692,             0.03338,            0.007294,            0.007294,            0.007294
                  84,            0.022969,           0.0063758,            0.033876,             0.73806,              0.4565,             0.48767,             0.38191,            0.017025,           0.0058766,            0.032676,            0.007261,            0.007261,            0.007261
                  85,            0.023575,            0.006499,            0.035495,             0.77891,             0.43759,             0.47987,             0.37465,             0.01782,           0.0057728,            0.032762,            0.007228,            0.007228,            0.007228
                  86,            0.022925,           0.0063417,            0.035309,             0.80229,             0.41033,             0.47134,             0.37591,            0.017389,           0.0059018,            0.032362,            0.007195,            0.007195,            0.007195
                  87,            0.023286,           0.0064082,            0.034677,             0.60803,              0.5435,             0.48357,             0.37745,            0.018254,           0.0058843,             0.03191,            0.007162,            0.007162,            0.007162
                  88,            0.023671,           0.0061762,            0.033543,             0.81211,             0.42801,             0.48699,             0.38349,            0.017556,           0.0057993,             0.03162,            0.007129,            0.007129,            0.007129
                  89,             0.02307,           0.0063171,            0.033717,              0.7705,             0.44374,             0.49212,             0.39627,            0.016414,           0.0057166,            0.031357,            0.007096,            0.007096,            0.007096
                  90,            0.022423,           0.0064989,            0.032701,             0.62552,             0.54058,             0.48657,             0.39362,            0.016946,           0.0058316,            0.031297,            0.007063,            0.007063,            0.007063
                  91,            0.022495,           0.0063751,            0.032902,               0.662,             0.56073,             0.50622,             0.40747,            0.016316,           0.0056866,            0.030861,             0.00703,             0.00703,             0.00703
                  92,            0.022777,           0.0063877,            0.032405,              0.6127,             0.56776,             0.49662,             0.40122,            0.017762,           0.0058016,            0.030804,            0.006997,            0.006997,            0.006997
                  93,            0.022835,           0.0067196,            0.033823,             0.64664,             0.55522,             0.50167,             0.40569,            0.016565,           0.0057493,            0.030463,            0.006964,            0.006964,            0.006964
                  94,            0.022445,           0.0062298,            0.033594,             0.78628,             0.44682,             0.50841,             0.40625,            0.016816,           0.0058039,            0.030181,            0.006931,            0.006931,            0.006931
                  95,            0.022422,           0.0062927,            0.032183,             0.63808,             0.56857,             0.51301,             0.41205,            0.016935,           0.0057965,            0.029802,            0.006898,            0.006898,            0.006898
                  96,            0.022669,           0.0065874,            0.032197,             0.66363,             0.55571,             0.51467,             0.41858,            0.016802,           0.0058236,            0.029628,            0.006865,            0.006865,            0.006865
                  97,            0.022597,           0.0061259,            0.032477,              0.6925,             0.55652,             0.50614,              0.4074,            0.016785,           0.0056884,            0.029557,            0.006832,            0.006832,            0.006832
                  98,            0.021541,           0.0063646,            0.032436,             0.65218,             0.55815,             0.50796,              0.4024,            0.016354,           0.0056176,            0.029863,            0.006799,            0.006799,            0.006799
                  99,            0.022011,           0.0061353,            0.031167,             0.57333,              0.6042,             0.52782,             0.41551,            0.017281,           0.0058077,            0.028879,            0.006766,            0.006766,            0.006766
                 100,            0.022336,           0.0063574,            0.031528,             0.67443,             0.53626,             0.53409,             0.42594,            0.017263,            0.005722,            0.028465,            0.006733,            0.006733,            0.006733
                 101,            0.022548,           0.0064929,            0.031529,             0.66283,             0.53705,             0.53293,             0.42025,            0.016557,           0.0056373,             0.02849,              0.0067,              0.0067,              0.0067
                 102,            0.021918,           0.0062318,            0.031357,             0.66281,             0.57169,             0.53021,             0.43442,            0.016401,           0.0055805,            0.028351,            0.006667,            0.006667,            0.006667
                 103,            0.022084,             0.00638,            0.030965,             0.66754,             0.57314,             0.53402,              0.4311,            0.016003,            0.005609,            0.027926,            0.006634,            0.006634,            0.006634
                 104,            0.022035,           0.0064819,             0.03047,             0.67687,             0.57497,             0.53972,             0.43039,            0.016243,           0.0055367,            0.027525,            0.006601,            0.006601,            0.006601
                 105,            0.021871,           0.0062394,            0.029607,             0.66992,             0.58347,             0.55919,             0.45564,            0.015863,           0.0055477,            0.026927,            0.006568,            0.006568,            0.006568
                 106,            0.022415,           0.0061293,            0.030036,             0.70583,             0.54906,             0.55056,             0.44233,             0.01598,           0.0056659,            0.027469,            0.006535,            0.006535,            0.006535
                 107,            0.021364,           0.0063032,            0.030824,             0.67052,             0.58186,             0.55299,             0.44972,            0.015606,           0.0055642,            0.026811,            0.006502,            0.006502,            0.006502
                 108,            0.021925,           0.0064489,            0.030376,             0.62362,             0.59567,             0.57462,             0.46631,            0.015836,           0.0056248,            0.026459,            0.006469,            0.006469,            0.006469
                 109,            0.022251,           0.0062123,            0.028815,             0.65406,             0.56573,             0.56295,             0.46402,            0.015808,           0.0055864,            0.025942,            0.006436,            0.006436,            0.006436
                 110,            0.022609,            0.006316,            0.029403,             0.65511,             0.57608,             0.56617,              0.4561,            0.016461,           0.0056629,            0.025691,            0.006403,            0.006403,            0.006403
                 111,            0.022567,           0.0059545,            0.027378,             0.61433,             0.60732,             0.57411,             0.46231,             0.01653,           0.0056276,            0.025333,             0.00637,             0.00637,             0.00637
                 112,            0.021711,           0.0062289,            0.028121,             0.64671,             0.56023,             0.57977,             0.47559,            0.015542,            0.005569,            0.025002,            0.006337,            0.006337,            0.006337
                 113,            0.021914,           0.0063743,             0.02714,             0.66693,             0.57144,             0.57557,             0.45755,            0.016636,           0.0057012,            0.024557,            0.006304,            0.006304,            0.006304
                 114,             0.02206,           0.0063943,            0.026887,             0.76391,             0.54234,             0.60286,             0.49297,            0.015836,           0.0056533,            0.024019,            0.006271,            0.006271,            0.006271
                 115,            0.021459,           0.0060611,            0.026456,             0.75369,             0.55737,             0.58608,             0.46447,            0.016349,           0.0056388,            0.024388,            0.006238,            0.006238,            0.006238
                 116,            0.021304,           0.0061068,            0.027104,             0.79128,              0.5462,             0.60083,             0.49393,            0.015954,           0.0056399,            0.023435,            0.006205,            0.006205,            0.006205
                 117,             0.02175,           0.0063448,            0.027017,             0.80947,             0.54963,             0.62036,             0.49697,            0.016058,           0.0055626,            0.023216,            0.006172,            0.006172,            0.006172
                 118,            0.022001,           0.0061078,            0.026084,             0.64965,             0.58742,             0.62554,             0.50842,            0.015921,            0.005487,            0.022741,            0.006139,            0.006139,            0.006139
                 119,            0.022098,           0.0063199,            0.025484,             0.85757,             0.52582,              0.6224,             0.51901,            0.015491,           0.0054702,            0.022666,            0.006106,            0.006106,            0.006106
                 120,            0.022287,           0.0065329,            0.025012,             0.73396,             0.59207,              0.6318,             0.52736,            0.015837,           0.0055178,            0.022298,            0.006073,            0.006073,            0.006073
                 121,            0.021553,            0.006177,            0.025387,             0.73934,             0.59779,             0.63794,             0.52071,            0.015618,           0.0055993,             0.02202,             0.00604,             0.00604,             0.00604
                 122,            0.021547,           0.0065582,            0.024873,             0.81274,             0.53833,             0.64241,             0.53315,            0.015507,           0.0055242,            0.021533,            0.006007,            0.006007,            0.006007
                 123,            0.022115,           0.0062577,            0.025629,             0.82227,             0.57678,             0.63213,             0.51385,            0.016225,           0.0055619,            0.022186,            0.005974,            0.005974,            0.005974
                 124,            0.021848,           0.0060207,            0.023273,             0.84105,              0.5641,             0.64498,             0.53287,            0.015891,           0.0056257,            0.021108,            0.005941,            0.005941,            0.005941
                 125,            0.021675,           0.0062501,             0.02426,             0.84286,             0.55544,             0.63541,             0.51776,            0.015599,           0.0055088,            0.020839,            0.005908,            0.005908,            0.005908
                 126,            0.022152,           0.0064515,            0.024307,             0.83113,             0.56275,             0.64408,             0.52425,            0.015685,           0.0055496,            0.020348,            0.005875,            0.005875,            0.005875
                 127,            0.020941,           0.0058639,             0.02287,              0.9095,             0.52412,             0.64634,             0.53258,            0.014925,           0.0053874,             0.02003,            0.005842,            0.005842,            0.005842
                 128,            0.021612,           0.0058487,             0.02247,             0.85616,             0.56446,             0.63894,             0.52643,            0.015799,           0.0054937,            0.019904,            0.005809,            0.005809,            0.005809
                 129,            0.021485,           0.0059897,            0.022332,             0.86158,              0.5514,             0.65627,             0.54181,            0.015175,           0.0053629,             0.01948,            0.005776,            0.005776,            0.005776
                 130,            0.021268,           0.0059201,            0.022567,             0.89257,             0.54905,             0.66376,             0.54601,            0.015661,            0.005427,            0.019127,            0.005743,            0.005743,            0.005743
                 131,            0.021546,           0.0058714,            0.023038,             0.88339,             0.55618,             0.65537,             0.53951,            0.015847,           0.0054427,            0.018989,             0.00571,             0.00571,             0.00571
