               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.022333,           0.0059371,            0.019284,             0.76306,             0.66961,             0.65937,              0.5332,            0.017485,           0.0056335,            0.014991,            0.006898,            0.006898,            0.006898
                  96,            0.023154,           0.0059643,             0.01742,             0.81393,             0.60937,             0.65943,             0.52397,            0.018642,           0.0055389,            0.014473,            0.006865,            0.006865,            0.006865
                  97,            0.022736,           0.0061598,            0.017355,             0.79852,             0.62485,              0.6665,             0.54954,             0.01668,           0.0054751,            0.014703,            0.006832,            0.006832,            0.006832
                  98,            0.023533,           0.0058254,            0.017709,             0.84477,             0.63112,             0.69192,             0.55094,            0.018209,           0.0055704,            0.014239,            0.006799,            0.006799,            0.006799
                  99,            0.022517,           0.0058963,            0.017579,             0.78116,             0.66823,             0.68971,             0.55812,            0.017521,           0.0055324,            0.014652,            0.006766,            0.006766,            0.006766
                 100,            0.023391,           0.0059368,            0.016969,             0.76333,             0.65702,              0.6931,             0.57017,            0.017183,           0.0055193,            0.014111,            0.006733,            0.006733,            0.006733
                 101,            0.023158,             0.00577,            0.016728,             0.85165,              0.6352,             0.69134,             0.55206,            0.017106,            0.005599,             0.01366,              0.0067,              0.0067,              0.0067
                 102,            0.022782,           0.0056428,            0.016454,             0.83651,             0.64699,             0.69445,             0.56389,            0.016651,           0.0054157,            0.014175,            0.006667,            0.006667,            0.006667
                 103,            0.022383,           0.0059999,            0.016217,             0.85353,             0.61645,             0.69646,              0.5651,            0.017187,           0.0053762,            0.013616,            0.006634,            0.006634,            0.006634
                 104,            0.022084,           0.0060809,             0.01771,             0.81824,              0.6407,             0.71473,             0.58754,            0.016919,           0.0054417,            0.013565,            0.006601,            0.006601,            0.006601
                 105,            0.021738,           0.0060622,             0.01635,             0.86462,             0.63625,             0.70284,             0.57708,            0.016357,           0.0054382,            0.013041,            0.006568,            0.006568,            0.006568
                 106,            0.022558,            0.005925,            0.015735,             0.88802,             0.61855,             0.70714,             0.58082,            0.016795,           0.0054204,             0.01299,            0.006535,            0.006535,            0.006535
                 107,            0.022414,           0.0060926,            0.016309,              0.8891,             0.64122,              0.7266,             0.60375,            0.015715,           0.0052891,            0.013082,            0.006502,            0.006502,            0.006502
                 108,            0.021541,            0.005838,             0.01557,             0.91936,             0.63931,             0.71278,             0.59017,            0.016856,           0.0054019,            0.012529,            0.006469,            0.006469,            0.006469
                 109,            0.021194,           0.0055978,            0.014557,              0.9226,             0.63611,             0.71963,             0.59645,            0.016618,            0.005431,            0.012386,            0.006436,            0.006436,            0.006436
                 110,            0.021547,           0.0058434,            0.015658,             0.91382,             0.65028,             0.72344,             0.58854,             0.01688,           0.0053711,            0.012351,            0.006403,            0.006403,            0.006403
                 111,            0.022095,            0.005773,            0.015958,             0.94142,             0.63751,             0.73798,              0.6027,            0.016623,           0.0053642,            0.012151,             0.00637,             0.00637,             0.00637
                 112,             0.02176,           0.0057767,            0.014435,             0.92799,              0.6445,             0.73285,             0.59848,            0.017114,            0.005391,            0.012122,            0.006337,            0.006337,            0.006337
                 113,            0.021542,           0.0056106,            0.013879,             0.94575,             0.63821,             0.73719,             0.61303,            0.016645,           0.0052726,               0.012,            0.006304,            0.006304,            0.006304
                 114,            0.021607,           0.0058521,            0.015031,             0.95707,             0.64362,             0.74324,             0.61331,             0.01603,           0.0052696,             0.01208,            0.006271,            0.006271,            0.006271
                 115,            0.021637,           0.0056512,            0.014518,             0.95785,             0.64406,             0.74494,             0.60936,            0.016795,           0.0054034,            0.011674,            0.006238,            0.006238,            0.006238
                 116,            0.021851,           0.0057992,            0.014255,             0.95228,             0.64029,             0.74079,             0.59976,            0.016881,           0.0053548,            0.011888,            0.006205,            0.006205,            0.006205
                 117,            0.021969,           0.0057935,             0.01454,             0.93668,             0.64958,             0.73771,             0.60327,             0.01676,           0.0052794,            0.011357,            0.006172,            0.006172,            0.006172
                 118,            0.021156,           0.0054335,            0.014411,             0.95812,             0.65251,             0.74914,             0.62964,            0.015241,           0.0051952,            0.011516,            0.006139,            0.006139,            0.006139
                 119,            0.021731,           0.0056772,            0.014284,             0.94446,             0.65996,             0.74951,             0.61873,            0.016012,           0.0053207,            0.011107,            0.006106,            0.006106,            0.006106
                 120,            0.021167,           0.0057316,            0.014176,             0.96242,             0.64723,             0.75365,             0.62857,            0.015508,           0.0052026,            0.010933,            0.006073,            0.006073,            0.006073
                 121,            0.022177,           0.0058049,            0.013255,             0.95725,             0.65622,              0.7494,              0.6301,            0.015846,           0.0052224,            0.010884,             0.00604,             0.00604,             0.00604
                 122,            0.021064,           0.0054708,            0.012838,             0.97581,             0.65176,             0.76037,             0.62806,            0.015572,           0.0052439,            0.010659,            0.006007,            0.006007,            0.006007
                 123,            0.020802,           0.0056781,            0.013262,             0.84054,             0.71923,             0.76284,             0.63356,            0.016094,           0.0051083,            0.010714,            0.005974,            0.005974,            0.005974
                 124,            0.020627,           0.0054785,            0.012659,              0.9687,             0.64846,             0.77217,             0.63353,            0.016468,           0.0052571,            0.010281,            0.005941,            0.005941,            0.005941
